name,category,city,state,rating,review_count,yelp_url
The Dentist On Skillman,Dental,Dallas,TX,4.9,33,https://www.yelp.com/biz/the-dentist-on-skillman-dallas
Katy Trail Dental,Dental,Dallas,TX,4.4,83,https://www.yelp.com/biz/katy-trail-dental-dallas
Lakewood Dental Group,Dental,Dallas,TX,4.9,37,https://www.yelp.com/biz/lakewood-dental-group-dallas
"Keith W. Brewster, DDS",Dental,Dallas,TX,4.8,22,https://www.yelp.com/biz/keith-w-brewster-dds-dallas
The Dental Method - Dentist of Dallas,Dental,Dallas,TX,4.9,53,https://www.yelp.com/biz/the-dental-method-dallas-dallas-2
White Dental Spa,Dental,Dallas,TX,4.8,32,https://www.yelp.com/biz/white-dental-spa-dallas
Preston Family Dentistry,Dental,Dallas,TX,4.9,76,https://www.yelp.com/biz/preston-family-dentistry-dallas
Kessler Park Dental,Dental,Dallas,TX,4.8,18,https://www.yelp.com/biz/kessler-park-dental-dallas
Sanjiva Medical Spa,Med Spa,Dallas,TX,5.0,4,https://www.yelp.com/biz/sanjiva-medical-spa-dallas
ZO Skin Centre,Med Spa,Dallas,TX,4.8,94,https://www.yelp.com/biz/zo-skin-centre-dallas
Viva Day Spa + Med Spa,Med Spa,Dallas,TX,4.4,7,https://www.yelp.com/biz/viva-day-spa-med-spa-dallas-4
My Aesthetics Intelligence,Med Spa,Dallas,TX,4.8,89,https://www.yelp.com/biz/my-aesthetics-intelligence-dallas-2
Total Med Solutions,Med Spa,Dallas,TX,4.2,26,https://www.yelp.com/biz/total-med-solutions-dallas-2
SkinSpirit - West Village Dallas,Med Spa,Dallas,TX,5.0,5,https://www.yelp.com/biz/skinspirit-west-village-dallas-dallas
OVME,Med Spa,Dallas,TX,4.6,21,https://www.yelp.com/biz/ovme-dallas-2
Forks & Boards,Restaurant,Phoenix,AZ,4.1,65,https://www.yelp.com/biz/forks-and-boards-phoenix-2
North Texas Auto Group,Auto Dealer,Dallas,TX,5.0,4,https://www.yelp.com/biz/north-texas-auto-group-dallas
Texas Cars Direct,Auto Dealer,Dallas,TX,4.0,94,https://www.yelp.com/biz/texas-cars-direct-dallas
123 TX Auto,Auto Dealer,Dallas,TX,5.0,2,https://www.yelp.com/biz/123-tx-auto-dallas-2
Five Star Auto Sales,Auto Dealer,Dallas,TX,5.0,8,https://www.yelp.com/biz/five-star-auto-sales-irving
Tesla Motors - NorthPark,Auto Dealer,Dallas,TX,3.8,30,https://www.yelp.com/biz/tesla-motors-northpark-dallas
All West Family Dentistry,Dental,Phoenix,AZ,4.9,43,https://www.yelp.com/biz/all-west-family-dentistry-peoria
AZ Family Dental,Dental,Phoenix,AZ,4.9,18,https://www.yelp.com/biz/az-family-dental-phoenix-3
Discount Dental,Dental,Phoenix,AZ,4.8,59,https://www.yelp.com/biz/discount-dental-phoenix
Life Smiles Dental Care,Dental,Phoenix,AZ,4.9,84,https://www.yelp.com/biz/life-smiles-dental-care-phoenix-4
Nurture Smiles & Wellness,Dental,Phoenix,AZ,4.9,53,https://www.yelp.com/biz/scott-a-simpson-dds-pllc-phoenix
Derma Health Skin & Laser,Med Spa,Phoenix,AZ,4.7,55,https://www.yelp.com/biz/derma-health-skin-and-laser-phoenix-5
Moon Valley Med Spa,Med Spa,Phoenix,AZ,5.0,4,https://www.yelp.com/biz/moon-valley-med-spa-phoenix
True Med Spa,Med Spa,Phoenix,AZ,4.8,38,https://www.yelp.com/biz/true-med-spa-scottsdale-4
Brazilian Touch MedSpa,Med Spa,Phoenix,AZ,5.0,4,https://www.yelp.com/biz/brazilian-touch-medspa-phoenix
Ageless Health Institute,Med Spa,Phoenix,AZ,4.9,43,https://www.yelp.com/biz/ageless-health-institute-phoenix
Beauty Nurse Abbe,Med Spa,Phoenix,AZ,5.0,30,https://www.yelp.com/biz/beauty-nurse-abbe-scottsdale
SkinSpirit - Paradise Valley,Med Spa,Phoenix,AZ,5.0,12,https://www.yelp.com/biz/skinspirit-paradise-valley-phoenix
Corazon De Agave,Restaurant,Phoenix,AZ,4.7,15,https://www.yelp.com/biz/corazon-de-agave-phoenix-2
